COMMUNITY,Location 1,CSR #,STATUS,SR TYPE,DESCRIPTION,DATE RECEIVED,TIME,LOCATION,CENSUS TRACT,PRIORITY,METHOD,PARCEL_NO,DATE_A,USER_ID,PLANNED COMP,REVISED PLANNED COMP,ACTUAL COMP,DATE OF STATUS,ASSIGNEE,X_COORD,Y_COORD,STREET_DIRECTION
COLUMBIA TUSCULUM,"311 DELTA AV
Cincinnati, OH
(39.11702143611569, -84.43951016602824)",SR12042950,CLOSED  ,Pothole repair,Columbia&Delta,09/13/2012 12:00:00 AM,9:29 PM,COLUMBIA PKWY & DELTA AV,49,STANDARD,INTERNET,2800040022,09/13/2012 12:00:00 AM,CSRWEB,09/15/2012 12:00:00 AM,,10/09/2012 12:00:00 AM,10/09/2012 12:00:00 AM,,1418314,412821,
CBD/RIVERFRONT,"138 E COURT ST
Cincinnati, OH
(39.10675117854106, -84.51177968430278)",SR12042938,VOIDED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,09/13/2012 12:00:00 AM,4:42 PM,138 E COURT ST CINC - GJ1516731586,7,STANDARD,INTERNET,7900010128,09/13/2012 12:00:00 AM,CAGISMOB,09/15/2012 12:00:00 AM,,09/13/2012 12:00:00 AM,09/13/2012 12:00:00 AM,,1397740,409506,E 
CBD/RIVERFRONT,"138 E COURT ST
Cincinnati, OH
(39.10675117854106, -84.51177968430278)",SR12042937,VOIDED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,09/13/2012 12:00:00 AM,4:35 PM,138 E COURT ST CINC - GJ1516731586,7,STANDARD,INTERNET,7900010128,09/13/2012 12:00:00 AM,CAGISMOB,09/15/2012 12:00:00 AM,,09/13/2012 12:00:00 AM,09/13/2012 12:00:00 AM,,1397740,409506,E 
CBD/RIVERFRONT,"138 E COURT ST
Cincinnati, OH
(39.10675117854106, -84.51177968430278)",SR12042934,VOIDED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,09/13/2012 12:00:00 AM,4:19 PM,138 E COURT ST CINC - GJ1516731586,7,STANDARD,INTERNET,7900010128,09/13/2012 12:00:00 AM,CAGISMOB,09/15/2012 12:00:00 AM,,09/13/2012 12:00:00 AM,09/13/2012 12:00:00 AM,,1397740,409506,E 
CBD/RIVERFRONT,"138 E COURT ST
Cincinnati, OH
(39.10675117854106, -84.51177968430278)",SR12042932,VOIDED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,09/13/2012 12:00:00 AM,4:17 PM,138 E COURT ST CINC - GJ1516731586,7,STANDARD,INTERNET,7900010128,09/13/2012 12:00:00 AM,CAGISMOB,09/15/2012 12:00:00 AM,,09/13/2012 12:00:00 AM,09/13/2012 12:00:00 AM,,1397740,409506,E 
CBD/RIVERFRONT,"138 E COURT ST
Cincinnati, OH
(39.10675117854106, -84.51177968430278)",SR12042931,VOIDED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,09/13/2012 12:00:00 AM,4:16 PM,138 E COURT ST CINC - GJ1516731586,7,STANDARD,INTERNET,7900010128,09/13/2012 12:00:00 AM,CAGISMOB,09/15/2012 12:00:00 AM,,09/13/2012 12:00:00 AM,09/13/2012 12:00:00 AM,,1397740,409506,E 
CBD/RIVERFRONT,"138 E COURT ST
Cincinnati, OH
(39.10675117854106, -84.51177968430278)",SR12042923,VOIDED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,09/13/2012 12:00:00 AM,3:57 PM,138 E COURT ST CINC - GJ1516731586,7,STANDARD,INTERNET,7900010128,09/13/2012 12:00:00 AM,CAGISMOB,09/15/2012 12:00:00 AM,,09/13/2012 12:00:00 AM,09/13/2012 12:00:00 AM,,1397740,409506,E 
CBD/RIVERFRONT,"138 E COURT ST
Cincinnati, OH
(39.10675117854106, -84.51177968430278)",SR12042829,VOIDED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,09/13/2012 12:00:00 AM,11:38 AM,138 E COURT ST CINC - GJ1516731586,7,STANDARD,INTERNET,7900010128,09/13/2012 12:00:00 AM,CAGISMOB,09/15/2012 12:00:00 AM,,09/13/2012 12:00:00 AM,09/13/2012 12:00:00 AM,,1397740,409506,E 
CBD/RIVERFRONT,"138 E COURT ST
Cincinnati, OH
(39.10675117854106, -84.51177968430278)",SR12042803,VOIDED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,09/13/2012 12:00:00 AM,10:11 AM,138 E COURT ST CINC - GJ1516731586,7,STANDARD,INTERNET,7900010128,09/13/2012 12:00:00 AM,CAGISMOB,09/15/2012 12:00:00 AM,,09/13/2012 12:00:00 AM,09/13/2012 12:00:00 AM,,1397740,409506,E 
CBD/RIVERFRONT,"138 E COURT ST
Cincinnati, OH
(39.10675117854106, -84.51177968430278)",SR12042801,VOIDED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,09/13/2012 12:00:00 AM,10:05 AM,138 E COURT ST CINC - GJ1516731586,7,STANDARD,INTERNET,7900010128,09/13/2012 12:00:00 AM,CAGISMOB,09/15/2012 12:00:00 AM,,09/13/2012 12:00:00 AM,09/13/2012 12:00:00 AM,,1397740,409506,E 
CORRYVILLE,"2704 VINE ST
Cincinnati, OH
(39.130709117401636, -84.50949540634832)",SR12042746,CLOSED  ,Pothole repair,at the parking garage entrance,09/12/2012 12:00:00 AM,10:11 PM,2704 VINE ST CINC - GJ1532434243,33,STANDARD,INTERNET,9200030025,09/12/2012 12:00:00 AM,CSRWEB,09/14/2012 12:00:00 AM,,09/19/2012 12:00:00 AM,09/19/2012 12:00:00 AM,,1398674,418143,
CUF,"321 CALHOUN ST
Cincinnati, OH
(39.128514771650146, -84.51963076561856)",SR12042745,CLOSED  ,Pothole repair,pothole located near bus stop on Calhoun st,09/12/2012 12:00:00 AM,10:05 PM,CALHOUN ST & CLIFTON AV,25,STANDARD,INTERNET,10200060082,09/12/2012 12:00:00 AM,CSRWEB,09/14/2012 12:00:00 AM,,10/01/2012 12:00:00 AM,10/01/2012 12:00:00 AM,,1395768,417413,
WESTWOOD,"3120 WORTHINGTON AV
Cincinnati, OH
(39.14534108681835, -84.58066775174717)",SR12042713,CLOSED  ,Pothole repair,NUMEROUS POTHOLES,09/12/2012 12:00:00 AM,4:05 PM,3120 WORTHINGTON AV - GJ0909535684 GOBEL AV and WORTHINGTON AV,100.02,STANDARD,PHONE,02070A540185      ,09/12/2012 12:00:00 AM,DTHOMAS,09/14/2012 12:00:00 AM,,10/03/2012 12:00:00 AM,10/03/2012 12:00:00 AM,,1378511,423915,
COLLEGE HILL,"6098 BELMONT AV
Cincinnati, OH
(39.20103610009289, -84.5630949992946)",SR12042701,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,09/12/2012 12:00:00 AM,3:05 PM,6098 BELMONT AV CINC - GJ1044541918,82.02,STANDARD,INTERNET,22800020322,09/12/2012 12:00:00 AM,CSRWEB,09/14/2012 12:00:00 AM,,09/21/2012 12:00:00 AM,09/21/2012 12:00:00 AM,,1383954,444121,
HARTWELL,"8329 BURNS AV
Cincinnati, OH
(39.21317694748842, -84.46961047434888)",SR12042664,CLOSED  ,Pothole repair,PER 548- FILL POTHOLE USED 3 BAGS QPR,09/12/2012 12:00:00 AM,1:19 PM,8329 BURNS AV - GJ1846443504,60,STANDARD,PHONE,24500060140,09/12/2012 12:00:00 AM,DCOTTRELL,09/14/2012 12:00:00 AM,,09/12/2012 12:00:00 AM,09/12/2012 12:00:00 AM,,1410479,448008,
MOUNT LOOKOUT,"1263 HAYWARD AV
Cincinnati, OH
(39.130879988587196, -84.42017474239827)",SR12042663,CLOSED  ,Pothole repair,The pothole spans the length of the driveway,09/12/2012 12:00:00 AM,1:07 PM,1263 HAYWARD AV CINC - GJ2296934481,48,STANDARD,INTERNET,2300020112,09/12/2012 12:00:00 AM,CSRWEB,09/14/2012 12:00:00 AM,,10/12/2012 12:00:00 AM,10/12/2012 12:00:00 AM,,1423772,417718,
CBD/RIVERFRONT,"727 E 4TH ST
Cincinnati, OH
(39.103123861245884, -84.50142204494777)",SR12042592,CLOSED  ,Pothole repair,Many potholes needs filling and also low inlet needs to be brought up to street level,09/12/2012 12:00:00 AM,9:56 AM,EGGLESTON AV & E 4TH ST - GJ1606231214 Eggeleston & E.  4th St,6,STANDARD,PHONE,8400060048,09/12/2012 12:00:00 AM,VBANKS,09/14/2012 12:00:00 AM,,09/12/2012 12:00:00 AM,09/12/2012 12:00:00 AM,,1400607,408136,E 
CBD/RIVERFRONT,"138 E COURT ST
Cincinnati, OH
(39.10675117854106, -84.51177968430278)",SR12042586,VOIDED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,09/12/2012 12:00:00 AM,9:38 AM,138 E COURT ST CINC - GJ1516731586,7,STANDARD,INTERNET,7900010128,09/12/2012 12:00:00 AM,CAGISMOB,09/14/2012 12:00:00 AM,,09/12/2012 12:00:00 AM,09/12/2012 12:00:00 AM,,1397740,409506,E 
WEST PRICE HILL,"1615 DEWEY AV
Cincinnati, OH
(39.11783981916233, -84.58190881614757)",SR12042254,CLOSED  ,Pothole repair,LARGE POTHOLE- GROWING LARGER,09/10/2012 12:00:00 AM,2:12 PM,1615 DEWEY AV - GJ0904032639,98,STANDARD,PHONE,18100010201,09/10/2012 12:00:00 AM,DCOTTRELL,09/12/2012 12:00:00 AM,,10/02/2012 12:00:00 AM,10/02/2012 12:00:00 AM,,1377836,413950,
WESTWOOD,"2938 QUEEN CITY AV
Cincinnati, OH
(39.1351157953452, -84.60007512113947)",SR12042085,CLOSED  ,Pothole repair,Please don't reply to this request with a No as a tax payer and a City resident I would like an estimate as to when this recurring area will be fixed.,09/10/2012 12:00:00 AM,7:12 AM,QUEEN CITY AV & FERGUSON RD,109,STANDARD,INTERNET,20800590084,09/10/2012 12:00:00 AM,CSRWEB,09/12/2012 12:00:00 AM,,10/02/2012 12:00:00 AM,10/02/2012 12:00:00 AM,,1372835,420362,
HYDE PARK,"2862 VICTORIA AV
Cincinnati, OH
(39.14227439869842, -84.43654240333154)",SR12042057,CLOSED  ,Pothole repair,There are two large potholes in the middle of the street on Monteith. They are located between Minto Ave and Victoria.,09/09/2012 12:00:00 AM,11:24 AM,VICTORIA AV & MONTEITH AV,50,STANDARD,INTERNET,3900070021,09/09/2012 12:00:00 AM,CSRWEB,09/11/2012 12:00:00 AM,,09/26/2012 12:00:00 AM,09/26/2012 12:00:00 AM,,1419248,421930,
EAST WESTWOOD,"2045 BALTIMORE AV
Cincinnati, OH
(39.14167185293877, -84.56178198913187)",SR12041953,CLOSED  ,Pothole repair,inbound side of baltimore,09/07/2012 12:00:00 AM,2:20 PM,BALTIMORE AV & YOAST AV,86.01,STANDARD,INTERNET,20600010142,09/07/2012 12:00:00 AM,CSRWEB,09/09/2012 12:00:00 AM,,09/20/2012 12:00:00 AM,09/20/2012 12:00:00 AM,,1383766,422538,
EVANSTON,"3322 BONAPARTE AV
Cincinnati, OH
(39.137939666517184, -84.46837840316874)",SR12041949,CLOSED  ,Pothole repair,There are three large potholes on Bonaparte from Hewitt to Huron,09/07/2012 12:00:00 AM,2:04 PM,3322 BONAPARTE AV - GJ1882735134 3322 Bonaparte Ave,38,STANDARD,PHONE,5400040122,09/07/2012 12:00:00 AM,VBANKS,09/09/2012 12:00:00 AM,,09/26/2012 12:00:00 AM,09/26/2012 12:00:00 AM,,1410304,420529,
EVANSTON,"3331 BONAPARTE AV
Cincinnati, OH
(39.138146510583965, -84.4684143760499)",SR12041906,CLOSED  ,Pothole repair,There is a big pothole in the middle of the street,09/07/2012 12:00:00 AM,12:06 PM,3331 BONAPARTE AV - GJ1878235161,39,STANDARD,PHONE,5400040101,09/07/2012 12:00:00 AM,DSWEETEN,09/09/2012 12:00:00 AM,,09/26/2012 12:00:00 AM,09/26/2012 12:00:00 AM,,1410160,420625,
EAST WALNUT HILLS,"2722 CLEINVIEW AV
Cincinnati, OH
(39.12887450046185, -84.4738552743272)",SR12041775,CLOSED  ,Pothole repair,The problem is directly in front of my driveway.  The entire area has no road surface.  I recently traded in my SUV for a sedan and the rear of the car drags onto the driveway every time I enter.  Entire area needs a patch to bring it up level with the re,09/06/2012 12:00:00 AM,3:47 PM,2722 CLEINVIEW AV CINC - GJ1839534118,42,STANDARD,INTERNET,6200030052,09/06/2012 12:00:00 AM,CSRWEB,09/08/2012 12:00:00 AM,,10/08/2012 12:00:00 AM,10/08/2012 12:00:00 AM,,1408726,417271,
OAKLEY,"3780 MILLSBRAE AV
Cincinnati, OH
(39.14761637155249, -84.43975298297613)",SR12041624,CLOSED  ,Pothole repair,several pothole in curb area of intersection right lane.,09/06/2012 12:00:00 AM,10:21 AM,MILLSBRAE AV & ARBOR AV - GJ2124736269,52,STANDARD,PHONE,4000040061,09/06/2012 12:00:00 AM,DCOTTRELL,09/08/2012 12:00:00 AM,,10/02/2012 12:00:00 AM,10/02/2012 12:00:00 AM,,1418416,423853,
ROSELAWN,"2111 LANGDON FARM RD
Cincinnati, OH
(39.18245610696755, -84.45489756594952)",SR12041578,CLOSED  ,Pothole repair,large pothole at Langdon Farm & Seymour by the store curb lane,09/06/2012 12:00:00 AM,8:13 AM,2111 LANGDON FARM RD - GJ1983640085,59,STANDARD,PHONE,12000040010,09/06/2012 12:00:00 AM,DCOTTRELL,09/08/2012 12:00:00 AM,,09/06/2012 12:00:00 AM,09/06/2012 12:00:00 AM,TMACK,1414418,436583,
EAST WALNUT HILLS,"1737 E MCMILLAN ST
Cincinnati, OH
(39.124827551329986, -84.47387326076779)",SR12041527,CLOSED  ,Pothole repair,in eastbound lane near center-2nd notice.,09/05/2012 12:00:00 AM,2:10 PM,1737 E MCMILLAN ST CINC - GJ1839633653,42,STANDARD,INTERNET,6400020093,09/05/2012 12:00:00 AM,CSRWEB,09/07/2012 12:00:00 AM,,09/21/2012 12:00:00 AM,09/21/2012 12:00:00 AM,,1408655,415749,E 
SOUTH FAIRMOUNT,"2471 EVERGLADE PL
Cincinnati, OH
(39.12805611741521, -84.55719544678243)",SR12041494,CLOSED  ,Pothole repair,This is right across from my house and we do have to park on the street because we don't have driveways.,09/05/2012 12:00:00 AM,1:06 PM,2471 EVERGLADE PL CINC - GJ1115733837,89,STANDARD,INTERNET,20300280229,09/05/2012 12:00:00 AM,CSRWEB,09/07/2012 12:00:00 AM,,11/21/2012 12:00:00 AM,11/21/2012 12:00:00 AM,TMACK,1384965,417533,
EVANSTON,"1825 RUTLAND AV
Cincinnati, OH
(39.14541303258068, -84.46735317605533)",SR12041458,CLOSED  ,Pothole repair,LARGE POTHOLE NEXT DOOR TO 1825 RUTLAND AVE,09/05/2012 12:00:00 AM,11:13 AM,1825 RUTLAND AV - GJ1886635945 At Address 1825 RUTLAND AV,38,STANDARD,PHONE,5800040006,09/05/2012 12:00:00 AM,DTHOMAS,09/07/2012 12:00:00 AM,,09/26/2012 12:00:00 AM,09/26/2012 12:00:00 AM,,1410563,423179,
NORTHSIDE,"4209 KIRBY AV
Cincinnati, OH
(39.164811408752655, -84.5473118976804)",SR12041337,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,09/04/2012 12:00:00 AM,4:20 PM,4209 KIRBY AV CINC - GJ1187537942,78,STANDARD,INTERNET,19500300012,09/04/2012 12:00:00 AM,CSRWEB,09/06/2012 12:00:00 AM,,09/14/2012 12:00:00 AM,09/14/2012 12:00:00 AM,,1387989,430862,
CALIFORNIA,"5851 LINNEMAN ST
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",SR12041325,CLOSED  ,Pothole repair,The potholes are actually located on Alley # 9 behind this Linneman Street address,09/04/2012 12:00:00 AM,3:20 PM,5851 LINNEMAN ST CINC - GJ2276927223,45,STANDARD,INTERNET,800020075,09/04/2012 12:00:00 AM,CSRWEB,09/06/2012 12:00:00 AM,,10/02/2012 12:00:00 AM,10/02/2012 12:00:00 AM,,1421933,393973,
AVONDALE,"864 HUTCHINS AV
Cincinnati, OH
(39.144954378345744, -84.48549250138632)",SR12041290,CLOSED  ,Pothole repair,Several potholes in the street at the edge of driveway,09/04/2012 12:00:00 AM,1:18 PM,864 HUTCHINS AV - GJ1730635896 864 Hutchins Ave,66,HAZARDOUS,PHONE,10800020024,09/04/2012 12:00:00 AM,VBANKS,09/06/2012 12:00:00 AM,,09/12/2012 12:00:00 AM,09/12/2012 12:00:00 AM,TMACK,1405447,423274,
NORTHSIDE,"4331 PITTS AV
Cincinnati, OH
(39.166223344338675, -84.54501862650568)",SR12041216,CLOSED  ,Pothole repair,several potholes whole street need patroled,09/04/2012 12:00:00 AM,10:55 AM,4331 PITTS AV - GJ1208038097,78,STANDARD,PHONE,19600270011,09/04/2012 12:00:00 AM,DCOTTRELL,09/06/2012 12:00:00 AM,,09/14/2012 12:00:00 AM,09/14/2012 12:00:00 AM,,1388682,431336,
WESTWOOD,"3171 WESTWOOD NORTHERN BLVD
Cincinnati, OH
(39.16231129351121, -84.6017118872328)",SR12041134,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,09/03/2012 12:00:00 AM,8:50 PM,3171 WESTWOOD NORTHERN BLVD CINC - GJ0720637489,101,STANDARD,INTERNET,21000780020,09/03/2012 12:00:00 AM,CSRWEB,09/05/2012 12:00:00 AM,,11/21/2012 12:00:00 AM,11/21/2012 12:00:00 AM,TMACK,1372618,430139,
CORRYVILLE,"2704 VINE ST
Cincinnati, OH
(39.130709117401636, -84.50949540634832)",SR12041120,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,09/03/2012 12:00:00 AM,12:03 PM,2704 VINE ST CINC - GJ1532434243,33,STANDARD,INTERNET,9200030025,09/03/2012 12:00:00 AM,CSRWEB,09/05/2012 12:00:00 AM,,09/19/2012 12:00:00 AM,09/19/2012 12:00:00 AM,,1398674,418143,
SPRING GROVE VILLAGE,"717 FROOME AV
Cincinnati, OH
(39.17597199513631, -84.5167169622436)",SR12041119,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,09/03/2012 12:00:00 AM,11:55 AM,717 FROOME AV CINC - GJ1450939223,73,STANDARD,INTERNET,21900510051,09/03/2012 12:00:00 AM,CAGISMOB,09/05/2012 12:00:00 AM,,09/21/2012 12:00:00 AM,09/21/2012 12:00:00 AM,,1396829,434630,
MOUNT LOOKOUT,"3221 CLOSE CT
Cincinnati, OH
(39.12979900114526, -84.42843627920122)",SR12041105,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,09/02/2012 12:00:00 AM,5:44 PM,3221 CLOSE CT CINC - GJ2230534319,48,STANDARD,INTERNET,4400030153,09/02/2012 12:00:00 AM,CSRWEB,09/04/2012 12:00:00 AM,,10/03/2012 12:00:00 AM,10/03/2012 12:00:00 AM,,1421570,417295,
MADISONVILLE,"4819 ROANOKE ST
Cincinnati, OH
(39.15809347319379, -84.38442669173361)",SR12041075,CLOSED  ,Pothole repair,Paved edge of street is wearing away and there is no curb,09/01/2012 12:00:00 AM,10:30 AM,SETTLE ST & GRANADA ST,56,STANDARD,INTERNET,3700030064,09/01/2012 12:00:00 AM,CSRWEB,09/03/2012 12:00:00 AM,,10/03/2012 12:00:00 AM,10/03/2012 12:00:00 AM,,1434073,427429,
MADISONVILLE,"4819 ROANOKE ST
Cincinnati, OH
(39.15809347319379, -84.38442669173361)",SR12041073,CLOSED  ,Pothole repair,Potholes are located on Settle St. between Granada and Warrick,09/01/2012 12:00:00 AM,10:27 AM,SETTLE ST & GRANADA ST,56,STANDARD,INTERNET,3700030064,09/01/2012 12:00:00 AM,CSRWEB,09/03/2012 12:00:00 AM,,10/03/2012 12:00:00 AM,10/03/2012 12:00:00 AM,,1434073,427429,
PLEASANT RIDGE,"3018 MAPLELEAF AV
Cincinnati, OH
(39.17457804599087, -84.43121841691806)",SR12041058,CLOSED  ,Pothole repair,getting larger and larger...sinkhole,08/31/2012 12:00:00 AM,5:21 PM,3018 MAPLELEAF AV CINC - GJ2190139312,57.02,STANDARD,INTERNET,12300020016,08/31/2012 12:00:00 AM,CSRWEB,09/02/2012 12:00:00 AM,,09/25/2012 12:00:00 AM,09/25/2012 12:00:00 AM,,1421059,433718,
HYDE PARK,"3624 MONTEITH AV
Cincinnati, OH
(39.14315573428712, -84.43661434909387)",SR12041001,CLOSED  ,Pothole repair,NUMEROUS POTHOLES ON MONTEITH AVE BETWEEN VICTORIA AVE & MINTO AVE,08/31/2012 12:00:00 AM,11:42 AM,3624 MONTEITH AV - GJ2155335791 MINTO AV and MONTEITH AV,50,STANDARD,PHONE,4000050017,08/31/2012 12:00:00 AM,DTHOMAS,09/02/2012 12:00:00 AM,,09/28/2012 12:00:00 AM,09/28/2012 12:00:00 AM,,1419342,422237,
EVANSTON,"2161 EAST HILL AV
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",SR12040945,CLOSED  ,Pothole repair,NUMEROUS POTHOLES FROM 2161 TO 2201 EAST HILL AVE9/26/2012 5:37 PM/MCOWNS - FILLED 6 POTHOLES      @ 2206 AND 22OO USED 7 BAGS QPR MMCOWNS ( 630)9/25/12 COMPLETE                                             ,08/31/2012 12:00:00 AM,9:17 AM,2161 EAST HILL AV - GJ1963034962 EAST HILL AV and POGUE AV,40,STANDARD,PHONE,5300020019,08/31/2012 12:00:00 AM,DTHOMAS,09/02/2012 12:00:00 AM,,10/01/2012 12:00:00 AM,10/01/2012 12:00:00 AM,,1412908,419834,
MOUNT LOOKOUT,"3628 KROGER AV
Cincinnati, OH
(39.12233642930886, -84.42982446777268)",SR12040904,CLOSED  ,Pothole repair,Previous repair has deteriorated,08/30/2012 12:00:00 AM,5:15 PM,3628 KROGER AV CINC - GJ2218733528,47.01,STANDARD,INTERNET,2500020061,08/30/2012 12:00:00 AM,CSRWEB,09/01/2012 12:00:00 AM,,10/03/2012 12:00:00 AM,10/03/2012 12:00:00 AM,,1421054,414722,
MADISONVILLE,"6116 NAVARRE PL
Cincinnati, OH
(39.15699630031804, -84.39010141373848)",SR12040829,CLOSED  ,Pothole repair,several potholes needs patroled.,08/30/2012 12:00:00 AM,11:32 AM,6116 NAVARRE PL - GJ2550837460,56,STANDARD,PHONE,3600040165,08/30/2012 12:00:00 AM,DCOTTRELL,09/01/2012 12:00:00 AM,,10/03/2012 12:00:00 AM,10/03/2012 12:00:00 AM,,1432569,427061,
CAMP WASHINGTON,"2873 COLERAIN AV
Cincinnati, OH
(39.134702107211695, -84.53651104010851)",SR12040701,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,08/29/2012 12:00:00 AM,7:45 PM,COLERAIN AV & TOWNSHIP ST,28,STANDARD,INTERNET,18800130117,08/29/2012 12:00:00 AM,CSRWEB,08/31/2012 12:00:00 AM,,09/14/2012 12:00:00 AM,09/14/2012 12:00:00 AM,,1390889,419802,
AVONDALE,"528 HICKMAN AV
Cincinnati, OH
(39.13755295804458, -84.49693187759902)",SR12040642,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,08/29/2012 12:00:00 AM,2:23 PM,528 HICKMAN AV CINC - GJ1633835044,34,STANDARD,INTERNET,10600020171,08/29/2012 12:00:00 AM,CSRWEB,08/31/2012 12:00:00 AM,,09/12/2012 12:00:00 AM,09/12/2012 12:00:00 AM,,1402140,420640,
AVONDALE,"522 HICKMAN AV
Cincinnati, OH
(39.13757993770548, -84.49728261319046)",SR12040641,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,08/29/2012 12:00:00 AM,2:20 PM,522 HICKMAN AV CINC - GJ1630835048,34,STANDARD,INTERNET,10600020168,08/29/2012 12:00:00 AM,CSRWEB,08/31/2012 12:00:00 AM,,09/12/2012 12:00:00 AM,09/12/2012 12:00:00 AM,,1402040,420658,
AVONDALE,"520 HICKMAN AV
Cincinnati, OH
(39.137588930925745, -84.49737254539338)",SR12040637,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,08/29/2012 12:00:00 AM,2:13 PM,520 HICKMAN AV CINC - GJ1630035048,34,STANDARD,INTERNET,10600020123,08/29/2012 12:00:00 AM,CSRWEB,08/31/2012 12:00:00 AM,,09/12/2012 12:00:00 AM,09/12/2012 12:00:00 AM,,1402015,420661,
AVONDALE,"515 HICKMAN AV
Cincinnati, OH
(39.13754396482432, -84.4976333487819)",SR12040634,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,08/29/2012 12:00:00 AM,2:10 PM,515 HICKMAN AV CINC - GJ1627735005,34,STANDARD,INTERNET,10600020138,08/29/2012 12:00:00 AM,CSRWEB,08/31/2012 12:00:00 AM,,09/12/2012 12:00:00 AM,09/12/2012 12:00:00 AM,,1401933,420522,
WESTWOOD,"3328 ROBINET DR
Cincinnati, OH
(39.13372184619976, -84.61547151428107)",SR12040630,CLOSED  ,Pothole repair,Street parking on Robinet is ESSENTIAL.  The roadway along the curb should be (there are no curbs) is sinking very rapidly.  It needs to be taken care of asap.,08/29/2012 12:00:00 AM,1:44 PM,3328 ROBINET DR CINC - GJ0610434340,109,STANDARD,INTERNET,21200670035,08/29/2012 12:00:00 AM,CSRWEB,08/31/2012 12:00:00 AM,,11/21/2012 12:00:00 AM,11/21/2012 12:00:00 AM,TMACK,1368493,420004,
AVONDALE,"512 HICKMAN AV
Cincinnati, OH
(39.137606917366384, -84.4977412674254)",SR12040623,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,08/29/2012 12:00:00 AM,1:29 PM,512 HICKMAN AV CINC - GJ1626935052,34,STANDARD,INTERNET,10600020125,08/29/2012 12:00:00 AM,CSRWEB,08/31/2012 12:00:00 AM,,09/12/2012 12:00:00 AM,09/12/2012 12:00:00 AM,,1401914,420679,
WESTWOOD,"3452 BOUDINOT AV
Cincinnati, OH
(39.150737018994164, -84.60321375502173)",SR12040442,CLOSED  ,Pothole repair,2 large potholes- 3452 & 3496 Boudinot- give to 420- Cruchfield.,08/28/2012 12:00:00 AM,11:56 AM,3452 BOUDINOT AV - GJ0712636239,101,STANDARD,PHONE,21000740085,08/28/2012 12:00:00 AM,DCOTTRELL,08/30/2012 12:00:00 AM,,09/21/2012 12:00:00 AM,09/21/2012 12:00:00 AM,TMACK,1372150,426055,
NORTHSIDE,"4240 FLORIDA AV
Cincinnati, OH
(39.16662803925186, -84.54766263327184)",SR12040437,CLOSED  ,Pothole repair,In front of house 4240 Florida ave. Caused by water main repair three weeks back. A large pothole is growing quickly,08/28/2012 12:00:00 AM,11:40 AM,4240 FLORIDA AV CINC - GJ1188038129,78,STANDARD,INTERNET,19500300074,08/28/2012 12:00:00 AM,CSRWEB,08/30/2012 12:00:00 AM,,09/14/2012 12:00:00 AM,09/14/2012 12:00:00 AM,,1388036,431474,
BOND HILL,"1138 LOIS DR
Cincinnati, OH
(39.180936252738036, -84.47787524379817)",SR12040436,CLOSED  ,Pothole repair,A FEW POTHOLES ON THE STREET BUT THE BIGGER ONE IS DIRECTLY IN FRONT OF 1138 LOIS DR @ THE END OF HER DRIVEWAY,08/28/2012 12:00:00 AM,11:40 AM,1138 LOIS DR - GJ1785339908 At Address 1138 LOIS DR,64,STANDARD,PHONE,11700040207,08/28/2012 12:00:00 AM,DTHOMAS,08/30/2012 12:00:00 AM,,09/13/2012 12:00:00 AM,09/13/2012 12:00:00 AM,,1407891,436327,
