COMMUNITY,Location 1,SR TYPE,CSR #,STATUS,DESCRIPTION,DATE RECEIVED,TIME,LOCATION,CENSUS TRACT,PRIORITY,METHOD,PARCEL_NO,DATE_A,USER_ID,PLANNED COMP,REVISED PLANNED COMP,ACTUAL COMP,DATE OF STATUS,ASSIGNEE,X_COORD,Y_COORD,STREET_DIRECTION
WEST END,"1201 LINN ST
Cincinnati, OH
(39.10805519548359, -84.5279045282881)",Graffiti removal,SR12046787,CLOSED  ,Gang Graffiti,10/11/2012 12:00:00 AM,12:27 PM,1201 LINN ST - GJ1372631679,2,STANDARD,PHONE,13500030009,10/11/2012 12:00:00 AM,LSHACKELFORD,11/10/2012 12:00:00 AM,,10/11/2012 12:00:00 AM,10/11/2012 12:00:00 AM,,1393030,410040,
MOUNT AUBURN,"501 BOAL ST
Cincinnati, OH
(39.11367595816671, -84.50656361653284)",Graffiti removal,SR12046667,CLOSED  ,you have to go down the stairs next to 501 and look to the right these are the Young St. stairs.,10/10/2012 12:00:00 AM,10:12 PM,501 BOAL ST CINC - GJ1557732343,18,STANDARD,INTERNET,8600010308,10/10/2012 12:00:00 AM,CSRWEB,11/09/2012 12:00:00 AM,,10/18/2012 12:00:00 AM,10/18/2012 12:00:00 AM,,1399206,411916,
WEST END,"2161 CENTRAL AV
Cincinnati, OH
(39.12145432501715, -84.53144125196177)",Graffiti removal,SR12046625,CLOSED  ,Graffiti on city ,10/10/2012 12:00:00 AM,2:12 PM,2161 CENTRAL AV - GJ1341433139,14,STANDARD,PHONE,13200010092,10/10/2012 12:00:00 AM,LSHACKELFORD,11/09/2012 12:00:00 AM,,10/15/2012 12:00:00 AM,10/15/2012 12:00:00 AM,,1392248,414876,
WEST END,"2100 CENTRAL AV
Cincinnati, OH
(39.12083456151993, -84.52896572828269)",Graffiti removal,SR12046623,CLOSED  ,Baymiller Steps,10/10/2012 12:00:00 AM,2:08 PM,2100 CENTRAL AV - GJ1362333113,15,STANDARD,PHONE,13200010033,10/10/2012 12:00:00 AM,LSHACKELFORD,11/09/2012 12:00:00 AM,,10/15/2012 12:00:00 AM,10/15/2012 12:00:00 AM,,1392925,414756,
WEST END,"923 BANK ST
Cincinnati, OH
(39.119395646273006, -84.52989202997287)",Graffiti removal,SR12046621,CLOSED  ,Graffiti on ball field,10/10/2012 12:00:00 AM,2:00 PM,923 BANK ST - GJ1354332910,15,STANDARD,PHONE,18400030013,10/10/2012 12:00:00 AM,LSHACKELFORD,11/09/2012 12:00:00 AM,,10/10/2012 12:00:00 AM,10/10/2012 12:00:00 AM,,1392632,414103,
OVER-THE-RHINE,"1408 MAIN ST
Cincinnati, OH
(39.11158953105871, -84.5122293453174)",Graffiti removal,SR12046585,CLOSED  ,Please removed all visible in same location on both fences!,10/10/2012 12:00:00 AM,11:02 AM,GOETZ AL & ENON AL,10,STANDARD,INTERNET,00750004CD07      ,10/10/2012 12:00:00 AM,CSRWEB,11/09/2012 12:00:00 AM,,10/24/2012 12:00:00 AM,10/24/2012 12:00:00 AM,,1397711,411222,
CAMP WASHINGTON,"3401 SPRING GROVE AV
Cincinnati, OH
(39.14481048682103, -84.54147529771024)",Graffiti removal,SR12046511,CLOSED  ,Graffiti on side of  building above 10 feet,10/10/2012 12:00:00 AM,7:08 AM,3401 SPRING GROVE AV - GJ1242935731,28,STANDARD,PHONE,19000290067,10/10/2012 12:00:00 AM,LSHACKELFORD,11/09/2012 12:00:00 AM,,11/07/2012 12:00:00 AM,11/07/2012 12:00:00 AM,,1389442,423526,
CAMP WASHINGTON,"3327 COLERAIN AV
Cincinnati, OH
(39.14412700207879, -84.53845357569179)",Graffiti removal,SR12046510,CLOSED  ,Graffiti on front wall  of building,10/10/2012 12:00:00 AM,7:00 AM,3327 COLERAIN AV - GJ1267735658,28,STANDARD,PHONE,19000280014,10/10/2012 12:00:00 AM,LSHACKELFORD,11/09/2012 12:00:00 AM,,10/16/2012 12:00:00 AM,10/16/2012 12:00:00 AM,,1390241,423247,
CAMP WASHINGTON,"3265 COLERAIN AV
Cincinnati, OH
(39.14306580208421, -84.53856149433534)",Graffiti removal,SR12046394,CLOSED  ,graffiti on front of the building,10/09/2012 12:00:00 AM,9:37 AM,3265 COLERAIN AV - GJ1265335519,28,STANDARD,PHONE,19000280025,10/09/2012 12:00:00 AM,DCOTTRELL,11/08/2012 12:00:00 AM,,10/16/2012 12:00:00 AM,10/16/2012 12:00:00 AM,,1390140,422796,
SOUTH FAIRMOUNT,"1701 WESTWOOD AV
Cincinnati, OH
(39.124998422515546, -84.55352621290285)",Graffiti removal,SR12046370,CLOSED  ,Graffiti on front of building,10/09/2012 12:00:00 AM,7:55 AM,1701 WESTWOOD AV - GJ1148933479,87,STANDARD,PHONE,17000090065,10/09/2012 12:00:00 AM,LSHACKELFORD,11/08/2012 12:00:00 AM,,10/16/2012 12:00:00 AM,10/16/2012 12:00:00 AM,,1385994,416303,
WALNUT HILLS,"961 E MCMILLAN ST
Cincinnati, OH
(39.125789825901336, -84.48853220984535)",Graffiti removal,SR12046366,CLOSED  ,Graffit in rear of building in parking lot,10/09/2012 12:00:00 AM,7:46 AM,961 E MCMILLAN ST - GJ1709933707,19,STANDARD,PHONE,6700010124,10/09/2012 12:00:00 AM,LSHACKELFORD,11/08/2012 12:00:00 AM,,10/10/2012 12:00:00 AM,10/10/2012 12:00:00 AM,,1404412,416137,E 
WALNUT HILLS,"915 E MCMILLAN ST
Cincinnati, OH
(39.12588875132457, -84.48981824034729)",Graffiti removal,SR12046364,CLOSED  ,Graffiti on rear of building,10/09/2012 12:00:00 AM,7:41 AM,915 E MCMILLAN ST - GJ1698833727,19,STANDARD,PHONE,6700010112,10/09/2012 12:00:00 AM,LSHACKELFORD,11/08/2012 12:00:00 AM,,10/10/2012 12:00:00 AM,10/10/2012 12:00:00 AM,,1404052,416220,E 
WALNUT HILLS,"2372 ST JAMES AV
Cincinnati, OH
(39.12484553777057, -84.4892246878079)",Graffiti removal,SR12046362,CLOSED  ,Graffiti in city  parking lot,10/09/2012 12:00:00 AM,7:29 AM,2372 ST JAMES AV - GJ1706333629,19,STANDARD,PHONE,6700010157,10/09/2012 12:00:00 AM,LSHACKELFORD,11/08/2012 12:00:00 AM,,10/10/2012 12:00:00 AM,10/10/2012 12:00:00 AM,,1404280,415887,
WALNUT HILLS,"772 E MCMILLAN ST
Cincinnati, OH
(39.126050629289864, -84.49170681660877)",Graffiti removal,SR12046356,CLOSED  ,Graffiti on side of building,10/09/2012 12:00:00 AM,7:11 AM,772 E MCMILLAN ST - GJ1681333771,35,STANDARD,PHONE,6700020005,10/09/2012 12:00:00 AM,LSHACKELFORD,11/08/2012 12:00:00 AM,,10/15/2012 12:00:00 AM,10/15/2012 12:00:00 AM,,1403486,416391,E 
WALNUT HILLS,"401 E MCMILLAN ST
Cincinnati, OH
(39.12659921572771, -84.50114969791645)",Graffiti removal,SR12046354,CLOSED  ,Graffiti on deck of bridge over Reading Road,10/09/2012 12:00:00 AM,6:59 AM,401 E MCMILLAN ST - GJ1600633768,21,STANDARD,PHONE,6800010175,10/09/2012 12:00:00 AM,LSHACKELFORD,11/08/2012 12:00:00 AM,,10/23/2012 12:00:00 AM,10/23/2012 12:00:00 AM,,1400839,416514,E 
MOUNT AUBURN,"153 E MCMILLAN ST
Cincinnati, OH
(39.126922971658246, -84.50594308433261)",Graffiti removal,SR12046353,CLOSED  ,Graffiti on city wall ,10/09/2012 12:00:00 AM,6:54 AM,153 E MCMILLAN ST - GJ1559133802,22,STANDARD,PHONE,8900040046,10/09/2012 12:00:00 AM,LSHACKELFORD,11/08/2012 12:00:00 AM,,10/30/2012 12:00:00 AM,10/30/2012 12:00:00 AM,,1399487,416693,E 
NORTH AVONDALE,"3852 DAKOTA AV
Cincinnati, OH
(39.15176224610752, -84.47959294887414)",Graffiti removal,SR12046351,CLOSED  ,The sign is located on the curb across the street from 3852 Dakota Ave. It is a yellow diamond-shaped stop sign ahead sign.,10/08/2012 12:00:00 AM,10:39 PM,3852 DAKOTA AV CINC - GJ1782136638,65,STANDARD,INTERNET,11000020036,10/08/2012 12:00:00 AM,CSRWEB,11/07/2012 12:00:00 AM,,10/10/2012 12:00:00 AM,10/10/2012 12:00:00 AM,,1407259,425621,
NORTH AVONDALE,"1000 LENOX PL
Cincinnati, OH
(39.154064510502565, -84.47857671498099)",Graffiti removal,SR12046350,CLOSED  ,Someone tagged a few signs at once in our neighborhood,10/08/2012 12:00:00 AM,10:31 PM,LENOX PL & GLEN LYON AV,65,STANDARD,INTERNET,11000020006,10/08/2012 12:00:00 AM,CSRWEB,11/07/2012 12:00:00 AM,,10/10/2012 12:00:00 AM,10/10/2012 12:00:00 AM,,1407443,426465,
CBD/RIVERFRONT,"1 E COURT ST
Cincinnati, OH
(39.10613064634083, -84.51408194869776)",Graffiti removal,SR12046282,CLOSED  ,below 10 feet,10/08/2012 12:00:00 AM,12:30 PM,1 E COURT ST CINC - GJ1495431483,7,STANDARD,INTERNET,7600020227,10/08/2012 12:00:00 AM,CSRWEB,11/07/2012 12:00:00 AM,,10/15/2012 12:00:00 AM,10/15/2012 12:00:00 AM,,1397024,409200,E 
WEST END,"212 RICHMOND ST
Cincinnati, OH
(39.10527629041303, -84.51801198596581)",Graffiti removal,SR12046255,CLOSED  ,large amount of graffiti on the right side of the building and the back of the building,10/08/2012 12:00:00 AM,10:54 AM,212 RICHMOND ST CINC - GJ1461131400,7,STANDARD,INTERNET,7600010293,10/08/2012 12:00:00 AM,CSRWEB,11/07/2012 12:00:00 AM,,10/18/2012 12:00:00 AM,10/18/2012 12:00:00 AM,,1395885,408984,
PENDLETON,"421 E 13TH ST
Cincinnati, OH
(39.11042041242064, -84.50751689788387)",Graffiti removal,SR12046189,CLOSED  ,Graffiti on building,10/08/2012 12:00:00 AM,7:46 AM,421 E 13TH ST - GJ1551031974,11,STANDARD,PHONE,7500030057,10/08/2012 12:00:00 AM,LSHACKELFORD,11/07/2012 12:00:00 AM,,10/08/2012 12:00:00 AM,10/08/2012 12:00:00 AM,,1398922,410716,E 
PENDLETON,"1114 BROADWAY
Cincinnati, OH
(39.10906015983998, -84.50815323229557)",Graffiti removal,SR12046188,CLOSED  ,Graffiti  on painted brick,10/08/2012 12:00:00 AM,7:42 AM,1114 BROADWAY - GJ1545731849,11,STANDARD,PHONE,7500030024,10/08/2012 12:00:00 AM,LSHACKELFORD,11/07/2012 12:00:00 AM,,10/08/2012 12:00:00 AM,10/08/2012 12:00:00 AM,,1398730,410315,
WEST END,"1136 GARDEN ST
Cincinnati, OH
(39.119125849664215, -84.53454152486432)",Graffiti removal,SR12046182,CLOSED  ,Graffiti on side of building,10/08/2012 12:00:00 AM,6:43 AM,1136 GARDEN ST - GJ1314232895,14,STANDARD,PHONE,18400050009,10/08/2012 12:00:00 AM,LSHACKELFORD,11/07/2012 12:00:00 AM,,10/15/2012 12:00:00 AM,10/15/2012 12:00:00 AM,,1391316,414120,
WEST END,"2024 BAYMILLER ST
Cincinnati, OH
(39.1191977954266, -84.52893874862184)",Graffiti removal,SR12046166,CLOSED  ,Large lettering about 4' x 15' on the south side of 2 abandoned brick buildings. Graffiti appeared within 18 hours of this report.,10/07/2012 12:00:00 AM,10:59 AM,BAYMILLER ST & BANK ST,15,STANDARD,INTERNET,13200020001,10/07/2012 12:00:00 AM,CSRWEB,11/06/2012 12:00:00 AM,,10/16/2012 12:00:00 AM,10/16/2012 12:00:00 AM,,1392903,414161,
MOUNT ADAMS,"1001 CELESTIAL ST
Cincinnati, OH
(39.10579789719003, -84.49734556573253)",Graffiti removal,SR12046156,CLOSED  ,The intersection listed is at the top of the steps; graffiti is at the bottom but there are not actual streets there,10/06/2012 12:00:00 AM,1:17 PM,HILL ST & RIVERVIEW PL,12,STANDARD,INTERNET,7300010218,10/06/2012 12:00:00 AM,CSRWEB,11/05/2012 12:00:00 AM,,10/15/2012 12:00:00 AM,10/15/2012 12:00:00 AM,,1401803,408972,
MOUNT AUBURN,"26 E HOLLISTER ST
Cincinnati, OH
(39.12588411323794, -84.51189369476076)",Graffiti removal,SR12046132,CLOSED  ,oppostie 26 E.Hollister - Graffiti on the sidewalk  very inapporpiate,10/05/2012 12:00:00 AM,3:41 PM,26 E HOLLISTER ST - GJ1509333704 26 E.Hollister,23,STANDARD,PHONE,9300010015,10/05/2012 12:00:00 AM,VBANKS,11/04/2012 12:00:00 AM,,10/18/2012 12:00:00 AM,10/18/2012 12:00:00 AM,,1397839,416453,E 
NORTH AVONDALE,"1015 REDWAY AV
Cincinnati, OH
(39.15284143254269, -84.47864866074337)",Graffiti removal,SR12046127,CLOSED  ,We think this was done in the past 24 hrs,10/05/2012 12:00:00 AM,3:08 PM,REDWAY AV & GLEN LYON AV,65,STANDARD,INTERNET,11000020018,10/05/2012 12:00:00 AM,CSRWEB,11/04/2012 12:00:00 AM,,10/10/2012 12:00:00 AM,10/10/2012 12:00:00 AM,,1407400,426044,
WEST END,"1127 DAYTON ST
Cincinnati, OH
(39.118613236107535, -84.53411884351056)",Graffiti removal,SR12045811,CLOSED  ,Graffiti on side of building large area,10/04/2012 12:00:00 AM,8:11 AM,1127 DAYTON ST - GJ1318132813,14,STANDARD,PHONE,18400050125,10/04/2012 12:00:00 AM,LSHACKELFORD,11/03/2012 12:00:00 AM,,10/04/2012 12:00:00 AM,10/04/2012 12:00:00 AM,,1391429,413846,
WEST END,"1127 DAYTON ST
Cincinnati, OH
(39.118613236107535, -84.53411884351056)",Graffiti removal,SR12045810,CLOSED  ,Graffiti on side of building large area,10/04/2012 12:00:00 AM,8:06 AM,1127 DAYTON ST - GJ1318132813,14,STANDARD,PHONE,18400050125,10/04/2012 12:00:00 AM,LSHACKELFORD,11/03/2012 12:00:00 AM,,10/15/2012 12:00:00 AM,10/15/2012 12:00:00 AM,,1391429,413846,
MOUNT AUBURN,"208 E LIBERTY ST
Cincinnati, OH
(39.112659724273556, -84.51199552158982)",Graffiti removal,SR12045802,CLOSED  ,Graffiti on side of building in alley,10/04/2012 12:00:00 AM,7:30 AM,208 E LIBERTY ST - GJ1511232246,17,STANDARD,PHONE,8600030060,10/04/2012 12:00:00 AM,LSHACKELFORD,11/03/2012 12:00:00 AM,,10/22/2012 12:00:00 AM,10/22/2012 12:00:00 AM,,1397664,411672,E 
WALNUT HILLS,"2385 KEMPER LN
Cincinnati, OH
(39.12530445665234, -84.4880458146715)",Graffiti removal,SR12045712,CLOSED  ,Tons of graffiti all over unpainted brick signs garbage cans boarded up windows,10/03/2012 12:00:00 AM,12:05 PM,CURTIS ST & KEMPER LN - GJ1715033671,19,STANDARD,NOD GRAFFITI,6700010125,10/03/2012 12:00:00 AM,ACURRY,11/02/2012 12:00:00 AM,,10/10/2012 12:00:00 AM,10/10/2012 12:00:00 AM,,1404571,416008,
CBD/RIVERFRONT,"150 E 4TH ST
Cincinnati, OH
(39.10034800569247, -84.51000801990506)",Graffiti removal,SR12045643,CLOSED  ,It is on the second pillar closest to the corner of Fourth and Main Streets. There are a list of individuals on the pillar who say they have been here.,10/03/2012 12:00:00 AM,8:31 AM,150 E 4TH ST CINC - GJ1533730894,6,STANDARD,INTERNET,8300010259,10/03/2012 12:00:00 AM,CSRWEB,11/02/2012 12:00:00 AM,,10/18/2012 12:00:00 AM,10/18/2012 12:00:00 AM,,1398182,407208,E 
EAST WALNUT HILLS,"2330 VICTORY PKWY
Cincinnati, OH
(39.123803398431974, -84.48460837586964)",Graffiti removal,SR12045628,CLOSED  ,This mailbox has been hit with graffiti several times before and the city cleans it up. Now it has graffiti on it again. It looks like gang symbols to novices like us citizens on patrol.,10/02/2012 12:00:00 AM,10:16 PM,2330 VICTORY PKWY CINC - GJ1747333519,20,STANDARD,INTERNET,6300030008,10/02/2012 12:00:00 AM,CSRWEB,11/01/2012 12:00:00 AM,,10/15/2012 12:00:00 AM,10/15/2012 12:00:00 AM,,1405610,415462,
NORTH AVONDALE,"605 I-75 NB EXWY
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",Graffiti removal,SR12045566,CLOSED  ,large Graffiti located on new sound barrier erected by the ODOT contractor at that location,10/02/2012 12:00:00 AM,2:30 PM,W MITCHELL AV & I-75 NB EXWY,70,STANDARD,INTERNET,22300020018,10/02/2012 12:00:00 AM,CSRWEB,11/01/2012 12:00:00 AM,,11/26/2012 12:00:00 AM,11/26/2012 12:00:00 AM,,1398974,429918,
OVER-THE-RHINE,"1217 SYCAMORE ST
Cincinnati, OH
(39.10991679208422, -84.5102238571921)",Graffiti removal,SR12045521,CLOSED  ,Graffiti on side of building,10/02/2012 12:00:00 AM,12:03 PM,1217 SYCAMORE ST - GJ1525331921,10,STANDARD,PHONE,7500040033,10/02/2012 12:00:00 AM,LSHACKELFORD,11/01/2012 12:00:00 AM,,10/02/2012 12:00:00 AM,10/02/2012 12:00:00 AM,,1398071,410586,
OVER-THE-RHINE,"1215 SYCAMORE ST
Cincinnati, OH
(39.10987182598274, -84.51021486397178)",Graffiti removal,SR12045517,CLOSED  ,Graffiti on wall and city garbage can,10/02/2012 12:00:00 AM,11:59 AM,1215 SYCAMORE ST - GJ1525431916,10,STANDARD,PHONE,7500040032,10/02/2012 12:00:00 AM,LSHACKELFORD,11/01/2012 12:00:00 AM,,10/02/2012 12:00:00 AM,10/02/2012 12:00:00 AM,,1398074,410569,
CUF,"2300 ROHS ST
Cincinnati, OH
(39.12495345641412, -84.52149236221919)",Graffiti removal,SR12045511,CLOSED  ,Graffiti on city wall,10/02/2012 12:00:00 AM,11:35 AM,2300 ROHS ST - GJ1426833569,26,STANDARD,PHONE,10000020397,10/02/2012 12:00:00 AM,LSHACKELFORD,11/01/2012 12:00:00 AM,,10/02/2012 12:00:00 AM,10/02/2012 12:00:00 AM,,1395114,416143,
CUF,"209 W MCMILLAN ST
Cincinnati, OH
(39.12785826656875, -84.51981063002444)",Graffiti removal,SR12045507,CLOSED  ,Graffiti on rear wall,10/02/2012 12:00:00 AM,11:33 AM,209 W MCMILLAN ST - GJ1439133885,26,STANDARD,PHONE,10000020353,10/02/2012 12:00:00 AM,LSHACKELFORD,11/01/2012 12:00:00 AM,,10/02/2012 12:00:00 AM,10/02/2012 12:00:00 AM,,1395570,417160,W 
CUF,"2303 ROHS ST
Cincinnati, OH
(39.125079361498194, -84.52155531476126)",Graffiti removal,SR12045500,CLOSED  ,Graffiti on control box,10/02/2012 12:00:00 AM,11:23 AM,2303 ROHS ST - GJ1423233581,26,STANDARD,PHONE,10000020417,10/02/2012 12:00:00 AM,LSHACKELFORD,11/01/2012 12:00:00 AM,,10/02/2012 12:00:00 AM,10/02/2012 12:00:00 AM,,1394998,416190,
CUF,"326 WARNER ST
Cincinnati, OH
(39.12502540217645, -84.52448710457679)",Graffiti removal,SR12045439,CLOSED  ,Graffiti on brick,10/02/2012 12:00:00 AM,7:14 AM,326 WARNER ST - GJ1399133587,26,STANDARD,PHONE,10000010052,10/02/2012 12:00:00 AM,LSHACKELFORD,11/01/2012 12:00:00 AM,,10/24/2012 12:00:00 AM,10/24/2012 12:00:00 AM,,1394210,416248,
CUF,"2332 CLIFTON AV
Cincinnati, OH
(39.12477020785994, -84.51972951418684)",Graffiti removal,SR12045437,CLOSED  ,Graffiti on side of building,10/02/2012 12:00:00 AM,7:07 AM,2332 CLIFTON AV - GJ1441833559,25,STANDARD,PHONE,10000020325,10/02/2012 12:00:00 AM,LSHACKELFORD,11/01/2012 12:00:00 AM,,10/15/2012 12:00:00 AM,10/15/2012 12:00:00 AM,,1395604,416088,
OVER-THE-RHINE,"1120 WALNUT ST
Cincinnati, OH
(39.107719577207234, -84.51288261556714)",Graffiti removal,SR12045414,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,10/01/2012 12:00:00 AM,4:17 PM,1120 WALNUT ST CINC - GJ1504331745,10,STANDARD,INTERNET,7500040253,10/01/2012 12:00:00 AM,CAGISMOB,10/31/2012 12:00:00 AM,,10/10/2012 12:00:00 AM,10/10/2012 12:00:00 AM,,1397360,410046,
MOUNT AUBURN,"71 E HOLLISTER ST
Cincinnati, OH
(39.12557398861435, -84.50974721651653)",Graffiti removal,SR12045412,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,10/01/2012 12:00:00 AM,4:06 PM,71 E HOLLISTER ST CINC - GJ1526733642,23,STANDARD,INTERNET,8800090037,10/01/2012 12:00:00 AM,CSRWEB,10/31/2012 12:00:00 AM,,12/10/2012 12:00:00 AM,12/10/2012 12:00:00 AM,,1398399,416223,E 
OVER-THE-RHINE,"909 VINE ST
Cincinnati, OH
(39.105453445765434, -84.51410118717065)",Graffiti removal,SR12045358,CLOSED  ,Black graffit located below 10 feet,10/01/2012 12:00:00 AM,1:51 PM,909 VINE ST CINC - GJ1493731447,7,STANDARD,INTERNET,7600020178,10/01/2012 12:00:00 AM,CSRWEB,10/31/2012 12:00:00 AM,,10/15/2012 12:00:00 AM,10/15/2012 12:00:00 AM,,1396960,409085,
CBD/RIVERFRONT,"120 E 7TH ST
Cincinnati, OH
(39.104089185334374, -84.51114116566197)",Graffiti removal,SR12045348,CLOSED  ,3 large black graffit below 10 feet (OTE),10/01/2012 12:00:00 AM,1:12 PM,120 E 7TH ST CINC - GJ1522931290,7,STANDARD,INTERNET,7900010019,10/01/2012 12:00:00 AM,CSRWEB,10/31/2012 12:00:00 AM,,10/15/2012 12:00:00 AM,10/15/2012 12:00:00 AM,,1397890,408523,E 
NORTH AVONDALE,"984 LENOX PL
Cincinnati, OH
(39.15407350372283, -84.47875657938687)",Graffiti removal,SR12045342,CLOSED  ,There is also graffiti on stop sign at Redway and Glen Lyon. One of the vandalized stop signs at Lenox and Glen Lyon has also been cut.,10/01/2012 12:00:00 AM,12:45 PM,984 LENOX PL CINC - GJ1784536934,65,STANDARD,INTERNET,11000030031,10/01/2012 12:00:00 AM,CSRWEB,10/31/2012 12:00:00 AM,,10/08/2012 12:00:00 AM,10/08/2012 12:00:00 AM,,1407384,426588,
MOUNT AUBURN,"1618 HUGHES ST
Cincinnati, OH
(39.11329824291437, -84.51161780633748)",Graffiti removal,SR12045274,CLOSED  ,the sides of the buildings at 1614 and 1618 Hughes St. have been tagged,10/01/2012 12:00:00 AM,10:02 AM,1618 HUGHES ST - GJ1515232298,17,STANDARD,PHONE,8600020025,10/01/2012 12:00:00 AM,DSWEETEN,10/31/2012 12:00:00 AM,,12/17/2012 12:00:00 AM,12/17/2012 12:00:00 AM,,1397805,411838,
CUF,"2301 ROHS ST
Cincinnati, OH
(39.1249714428547, -84.52156430798158)",Graffiti removal,SR12045142,CLOSED  ,This is NEW graffiti.  Please PAINT in a light brown color no power washing will work.,09/28/2012 12:00:00 AM,2:05 PM,2301 ROHS ST CINC - GJ1422933570,26,STANDARD,INTERNET,10000020068,09/28/2012 12:00:00 AM,CSRWEB,10/28/2012 12:00:00 AM,,10/02/2012 12:00:00 AM,10/02/2012 12:00:00 AM,,1394988,416158,
MOUNT AUBURN,"159 E MCMILLAN ST
Cincinnati, OH
(39.12691397843798, -84.50575422670647)",Graffiti removal,SR12045121,CLOSED  , ,09/28/2012 12:00:00 AM,12:31 PM,159 E MCMILLAN ST - GJ1560633803,22,STANDARD,PHONE,8900040072,09/28/2012 12:00:00 AM,RMCCOY,10/28/2012 12:00:00 AM,,12/10/2012 12:00:00 AM,12/10/2012 12:00:00 AM,,1399536,416692,E 
MOUNT AUBURN,"214 ALBION PL
Cincinnati, OH
(39.12234542252912, -84.50797555211881)",Graffiti removal,SR12045086,CLOSED  ,GRAFFITI ON FRONT OF BRICK BUILDING,09/28/2012 12:00:00 AM,11:29 AM,214 ALBION PL - GJ1545133321 At Address 214 ALBION PL,22,STANDARD,PHONE,8900010016,09/28/2012 12:00:00 AM,DTHOMAS,10/28/2012 12:00:00 AM,,10/15/2012 12:00:00 AM,10/15/2012 12:00:00 AM,,1398950,415140,
HEIGHTS,"2556 VESTRY AV
Cincinnati, OH
(39.12977382249113, -84.52446911813621)",Graffiti removal,SR12044969,CLOSED  ,There are no addresses in the 500 block of Straight Street as these properties are actually the back end of lots on Fortune Avenue above.  The graffiti is likely on the wall of 511 or 519 Fortune.,09/27/2012 12:00:00 AM,2:21 PM,STRAIGHT ST & VESTRY AV,26,STANDARD,INTERNET,10100070008,09/27/2012 12:00:00 AM,CSRWEB,10/27/2012 12:00:00 AM,,10/18/2012 12:00:00 AM,10/18/2012 12:00:00 AM,,1394255,417963,
CBD/RIVERFRONT,"15 E 8TH ST
Cincinnati, OH
(39.10449388024756, -84.513137660567)",Graffiti removal,SR12044938,CLOSED  ,Large red graffiti,09/27/2012 12:00:00 AM,12:03 PM,15 E 8TH ST CINC - GJ1503931309,7,STANDARD,INTERNET,7700030117,09/27/2012 12:00:00 AM,CSRWEB,10/27/2012 12:00:00 AM,,10/02/2012 12:00:00 AM,10/02/2012 12:00:00 AM,,1397280,408619,E 
OVER-THE-RHINE,"1318 MAIN ST
Cincinnati, OH
(39.11037544631915, -84.51191458260718)",Graffiti removal,SR12044937,CLOSED  ,Our building is on the corner of Main & Woodward the TAG is on the Woodward side of the building.,09/27/2012 12:00:00 AM,12:02 PM,1318 MAIN ST CINC - GJ1514331972,10,STANDARD,INTERNET,7500040324,09/27/2012 12:00:00 AM,CSRWEB,10/27/2012 12:00:00 AM,,10/08/2012 12:00:00 AM,10/08/2012 12:00:00 AM,,1397721,410773,
HEIGHTS,"328 W MCMILLAN ST
Cincinnati, OH
(39.128146049618124, -84.52384858593598)",Graffiti removal,SR12044917,NEW     ,GRAFFITTI ON THE STONE BUILDING WALL,09/27/2012 12:00:00 AM,10:04 AM,328 W MCMILLAN ST - GJ1403233936,26,STANDARD,PHONE,10100070123,09/27/2012 12:00:00 AM,DCOTTRELL,10/27/2012 12:00:00 AM,,,09/27/2012 12:00:00 AM,,1394400,417387,W 
SOUTH FAIRMOUNT,"2181 GRAND AV
Cincinnati, OH
(39.12209361236091, -84.55393990103636)",Graffiti removal,SR12044894,CLOSED  ,Business hours are 8:00a to 5:00p,09/27/2012 12:00:00 AM,8:36 AM,2181 GRAND AV CINC - GJ1142533260,92,STANDARD,INTERNET,17100100109,09/27/2012 12:00:00 AM,CSRWEB,10/27/2012 12:00:00 AM,,10/22/2012 12:00:00 AM,10/22/2012 12:00:00 AM,,1385753,415596,
CUF,"100 W MCMILLAN ST
Cincinnati, OH
(39.127633436061444, -84.51579066055342)",Graffiti removal,SR12044831,CLOSED  ,citizen said there is several locations of graffitti  Mcmillan & auburn se corner retaing wall and over pass of I-71 @ E. Mcmillan ,09/26/2012 12:00:00 AM,2:26 PM,100 W MCMILLAN ST - GJ1474333895,25,STANDARD,PHONE,10200060161,09/26/2012 12:00:00 AM,DCOTTRELL,10/26/2012 12:00:00 AM,,10/22/2012 12:00:00 AM,10/22/2012 12:00:00 AM,,1396723,417136,W 
CLIFTON,"344 HOWELL AV
Cincinnati, OH
(39.1427870122551, -84.52147437577861)",Graffiti removal,SR12044795,CLOSED  ,This is rental property bordering owner-occupied homes and it looks terrible to have tags on homes in our neighborhood.,09/26/2012 12:00:00 AM,12:36 PM,344 HOWELL AV CINC - GJ1421135566,72,STANDARD,INTERNET,21400040127,09/26/2012 12:00:00 AM,CSRWEB,10/26/2012 12:00:00 AM,,10/15/2012 12:00:00 AM,10/15/2012 12:00:00 AM,,1395257,422697,
